Source_1,Source_2,Source_3,Source_4,Target
2.059088130688551,-0.05921366197883733,2.5889080486938894,0.20421460767238264,2.060060820919866
2.0581226713423986,-0.16408697216588358,2.425190049680561,0.3544630407019898,1.7719964650433528
2.0904793493479636,-0.3099264633097044,2.3191514187153657,0.11252271590907852,1.52453498968436
1.7552365459390025,-0.26111328311541376,2.0925229877219285,0.1843010900330569,1.5954576029417484
1.8491204704875481,-0.10584167353406845,2.0598195808330937,0.14381463940718697,1.5542892090070102
1.8388490231982237,-0.49144128999109715,1.946216606416897,0.1781015632537945,1.4277594652386139
1.650825163161188,-0.4494564375117413,1.767587139279487,0.035627075444114004,1.364062776814519
1.5535248737104455,-0.7011261251900092,1.7460607064727958,-0.11176704690541492,1.3054450641708755
1.3408576674566595,-0.574804143460568,1.649703495237963,0.09504449940716392,1.1808672959806803
1.5609737169846587,-0.6128212396769694,1.5895362121238836,-0.11139110505751375,0.9249883861950547
1.1981382877570335,-0.6059665275662187,1.4758629180499894,-0.20595924092685158,0.8638930406926517
1.2315271095575282,-0.6034057139244775,1.4697327512820555,0.021347649280679868,0.9107550086688603
1.0920928011208282,-0.6703905555382882,1.4526299254478308,-0.08170787236362775,0.7268450009401087
1.0578450224915537,-0.3950963684770246,1.0121107401013318,0.0719022236599873,0.6059591653737106
0.9017064534356765,-0.448039596765751,0.894652492336063,-0.09744829130312628,0.41360022173175326
1.0730631497886411,-0.3806798262327358,0.8413001302520214,-0.1802844615295519,0.3525979204919385
0.5354009616396679,-0.44850005722112285,0.9228213100266388,0.06898045741500283,0.42695571554115735
0.8226196114746737,-0.4196189269517617,0.9578857457056582,0.22172030541623095,0.39668408846760317
0.8988764744892659,-0.46091329928558245,0.5814763746743851,0.02700481257872908,0.04454080794520368
0.7092061125947953,-0.2768140362612418,0.6472003337802545,-0.024742199554644052,0.14619792087399058
0.6965981529864023,-0.3059571710036684,0.6028591579381448,0.002856059369118435,0.030045787923221594
0.6749605463020933,-0.3398951956372529,0.35387054004257185,0.07598338170840013,-0.1673079065338191
0.7308267203941663,-0.14759308102043978,0.3211292651065758,0.09121255975642736,-0.22311236374874538
0.6752336154065249,-0.14061141113933492,0.20602862554708254,-0.14582892429696745,-0.46043477096849
0.6075404503223812,-0.13757693267238075,0.19781787439982546,0.055783053375948695,-0.2632099730252767
